IACAID00,CD01,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD01','Iowa')",,,,,,,,,,,,
IACAID00,CD02,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD02','Iowa')",,,,,,,,,,,,
IACAID00,CD03,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD03','Iowa')",,,,,,,,,,,,
IACAID00,CD04,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD04','Iowa')",,,,,,,,,,,,
IAHWMA1,CD01,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMA1','CD01','Iowa')",,,,,,,,,,,,
IAHWMDN,CD01,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMDN','CD01','Iowa')",,,,,,,,,,,,
IAHWAD01,CD01,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWAD01','CD01','Iowa')",,,,,,,,,,,,
IAHWADN0,CD01,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWADN0','CD01','Iowa')",,,,,,,,,,,,
IACAID00,CD05,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD05','Iowa')",,,,,,,,,,,,
IACAID00,CD06,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD06','Iowa')",,,,,,,,,,,,
IACAID00,CD07,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD07','Iowa')",,,,,,,,,,,,
IACAID00,CD08,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD08','Iowa')",,,,,,,,,,,,
IACAID00,CD09,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD09','Iowa')",,,,,,,,,,,,
IAHWMA1,CD02,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMA1','CD02','Iowa')",,,,,,,,,,,,
IAHWMDN,CD02,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMDN','CD02','Iowa')",,,,,,,,,,,,
IAHWAD01,CD02,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWAD01','CD02','Iowa')",,,,,,,,,,,,
IAHWADN0,CD02,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWADN0','CD02','Iowa')",,,,,,,,,,,,
IACAID00,CD10,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD10','Iowa')",,,,,,,,,,,,
IACAID00,CD11,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD11','Iowa')",,,,,,,,,,,,
IACAID00,CD12,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD12','Iowa')",,,,,,,,,,,,
IACAID00,CD13,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD13','Iowa')",,,,,,,,,,,,
IACAID00,CD14,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD14','Iowa')",,,,,,,,,,,,
IAHWMA1,CD03,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMA1','CD03','Iowa')",,,,,,,,,,,,
IAHWMDN,CD03,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMDN','CD03','Iowa')",,,,,,,,,,,,
IAHWAD01,CD03,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWAD01','CD03','Iowa')",,,,,,,,,,,,
IAHWADN0,CD03,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWADN0','CD03','Iowa')",,,,,,,,,,,,
IACAID00,CD15,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD15','Iowa')",,,,,,,,,,,,
IACAID00,CD16,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD16','Iowa')",,,,,,,,,,,,
IACAID00,CD17,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD17','Iowa')",,,,,,,,,,,,
IACAID00,CD18,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD18','Iowa')",,,,,,,,,,,,
IACAID00,CD19,Iowa,,,"INSERT INTO #pcr VALUES ('IACAID00','CD19','Iowa')",,,,,,,,,,,,
IAHWMA1,CD04,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMA1','CD04','Iowa')",,,,,,,,,,,,
IAHWMDN,CD04,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMDN','CD04','Iowa')",,,,,,,,,,,,
IAHWAD01,CD04,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWAD01','CD04','Iowa')",,,,,,,,,,,,
IAHWADN0,CD04,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWADN0','CD04','Iowa')",,,,,,,,,,,,
IACAIDAD,CD01,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD01','Iowa')",,,,,,,,,,,,
IACAIDAD,CD02,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD02','Iowa')",,,,,,,,,,,,
IACAIDAD,CD03,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD03','Iowa')",,,,,,,,,,,,
IACAIDAD,CD04,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD04','Iowa')",,,,,,,,,,,,
IACAIDAD,CD05,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD05','Iowa')",,,,,,,,,,,,
IAHWMA1,CD05,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMA1','CD05','Iowa')",,,,,,,,,,,,
IAHWMDN,CD05,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWMDN','CD05','Iowa')",,,,,,,,,,,,
IAHWAD01,CD05,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWAD01','CD05','Iowa')",,,,,,,,,,,,
IAHWADN0,CD05,Iowa,,,"INSERT INTO #pcr VALUES ('IAHWADN0','CD05','Iowa')",,,,,,,,,,,,
IACAIDAD,CD06,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD06','Iowa')",,,,,,,,,,,,
IACAIDAD,CD07,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD07','Iowa')",,,,,,,,,,,,
IACAIDAD,CD08,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD08','Iowa')",,,,,,,,,,,,
IACAIDAD,CD09,Iowa,,,"INSERT INTO #pcr VALUES ('IACAIDAD','CD09','Iowa')",,,,,,,,,,,,
